ID	relation	seg1_text	seg2_text	annot_A29ZTHY1OB4IC8	annot_A36SM7QM8OK3H6
IBM_stance_0544	attack	This house would abolish the monarchy	Monarchy strengthens popular liberty	contradiction	contradiction
AbstRCT_17195085_06	support	Postoperative morbidity rate was 28.9 percent in the laparoscopic vs. 40 percent in the open group (P = 0.18).	Short-term postoperative morbidity was similar in the two groups.	contradiction	contradiction
JoDeb_causal_3048	attack	It is justified to ban extremist political parties.	As long as extremist parties do promote physical harm to others, they should be given freedom to engage in politics.	contradiction	contradiction
AAAI2018_07_05	support	 I don't think we can verify this. 	 How can you verify if an information on the Web is reliable? 	entailment	entailment
FinARG_AAPL_Q1_2018_18849_7_04	support	and so that’s ipad, it’s mac and those are huge numbers as well.	and so as we’ve always said, there is a large part of the -- or the vast majority of the services are mapped to the install base instead of the quarterly sales.	neu	neu
veri_27	neu	The librarian owns many books.	The librarian recommends his favorite books.	neu	neu
IBM_stance_1757	support	This house would encourage the creation of private universities in the UK	Dependence on government funding has had disastrous effects on the higher education sector in continental Europe	neu	entailment
JoDeb_causal_4507	support	Obama does deserve a second term.	President Obama is far better than the Republican right-wing nominees.	neu	entailment
IJCAI2015_010_06	support	Think about the possible baby after birth, if it's malformed or have an important disease it can't live without assistance.	If you know the future baby will be malformed or otherwise, it's a crime not to do something for him and for parents.	entailment	entailment
UKP_nuclear_energy_2930	attack	Nuclear energy is a good energy source for the future.	Nuclear plants are being closed due to safety ; this should continue .	contradiction	contradiction
QT30_nodeset17932_001	support	Alfie's experience of software engineering is things do go wrong	Alfie is a computer science student	neu	neu
QT30_nodeset23791_000	support	British citizens come back from India have to self-isolate	someone comes back, a British citizen comes back from India	entailment	neu
veri_28	neu	Peter has a garden.	Peter likes butterflies.	neu	neu
AAAI2018_02_11	attack	Nuclear power is clean and emits significantly less CO2 than other renewable energy sources.	I think there are many cleaner and less dangerous alternatives such as solar power.	contradiction	contradiction
QT50_nodeset28482_004	support	the measures have been successful	level of absence between 3% and 6% is actually quite close to normal levels	neu	contradiction
QT50_nodeset28469_005	support	we need to understand the two different apps actually have different ways in which the data is hemmed	the Google/apple app actually deliberately has a decentralised approach and doesn't hold all of the data in a single database	contradiction	neu
US2016_nodeset10849_009	support	You walk down the street, you get shot	In Chicago, they've had thousands of shootings, thousands since January 1st	entailment	entailment
FinARG_AMZN_Q1_2018_18384_7_07	support	but you're right, there are always pressures in that.	we will come down on the side of the customer.	neu	neu
Webis-Debate_3108	support	I think the Phalanx article needs to be merged with the greater WWZ, as is, it stands out uselessly as it's own separate article.	, it was a relatively minor thing in the book more than a paragraph is excessive for a vaccene that didn't even work	contradiction	neu
AbstRCT_11821453_02	support	The clinical benefit rates in assessable patients with 3+ and 2+ HER2 overexpression were 48% and 7%, respectively.	The clinical benefit rates in assessable patients with 3+ and 2+ HER2 overexpression were 48% and 7%, respectively.	entailment	entailment
JoKialo_norm_13454	neutral	However this is only the case if they have deficiancies that can be corrected. Otherwise they just know the hurtful truth and have to live with it, knowing they can not do anything about it.	Intelligence is not necessarily correlated with willpower. AI would only take decisions we allow it to take. It mostly only follows its purpose.	contradiction	neu
QT50_nodeset29247_000	support	Rakie Ayola never understands how these missions can happen in real time in the real world	the things other people have mentioned – other things happen	neu	neu
JoKialo_causal_76165	attack	"Politician Matteo Salvini said that ""[she tried to sink](https://www.bbc.com/news/world-europe-48809134) a police launch with officers on board"" risking killing them while they were doing and that is ""clear from the videos."""	An Italian court found her [not guilty](https://www.bbc.com/news/world-europe-48838438) of endangering lives.	contradiction	contradiction
FinARG_FB_Q4_2017_17658_7_06	support	she was selling clothes in her living room and selling them.	the eu, the strength in europe was driven by smbs.	contradiction	neu
AAAI2018_012_23	attack	They should abolish this stuff because it's harmful to our health, our children, and it's expensive too. 	So legalize it but with some restriction. 	contradiction	contradiction
IBM_stance_1742	attack	This house would encourage the creation of private universities in the UK	private universities charge much higher tuition than their public counterparts	contradiction	contradiction
JoDeb_causal_2572	attack	The United States NSAs warrantless wiretapping program was justified.	F.B.I. agents complain of dead-ends from NSA program intel:	contradiction	contradiction
QT30_nodeset19888_006	support	Brandon Lewis does or does not want to answer the question about the dog	it is a lovely little dog	contradiction	neu
IBM_stance_0478	support	This house believes that the right to asylum should not be absolute	Immigrants are considered hostile or alien to the natural culture	contradiction	entailment
AAAI2018_05_11	attack	I think it can be harmful for example with advertising for drugs. 	I'm not so concerned about drugs advertising, I don't feel related to them. 	entailment	contradiction
JoKialo_norm_40012	support	"Option ""Three"": Fight to the death \(and kill at least one of the British\)."	If our population is wiped out, future escaping slaves will find a relatively sparsely-inhabited mountainous region where they can live and hide from the British.	contradiction	neu
veri_21	neu	The student reads many books.	The student has a yellow bag.	neu	neu
Webis-Debate_2753	support		Some students with disabilities attend entirely schools entirely dedicated to educating students with disabilities.	neu	neu
UKP_school_uniforms_newFormat_1310	neutral	School uniforms should be established in schools.	Cheating by teachers and administrators on standardized tests is rare , and not a reason to stop testing America 's children .	contradiction	neu
UKP_abortion_1271	support	Women should have the opportunity to get legal and safe abortion if they want	If the child dies , the responsibility for the child 's death rests with the responsible party , namely , the rapist .	contradiction	neu
AbstRCT_18165645_03	support	GHRQL was initially worse for the RP+RT arm but improved over time and was better at the end of the period than the GHRQL reported for RP alone (treatment arm x time interaction, P = .0004).	The addition of RT did not negatively impact ED.	contradiction	entailment
NK_deb_1841	neutral	I say in that connection that with all the criticism of President Eisenhower 's administration , they ca n't take away the solid fact that under his leadership we got the United States out of one war ; we 've kept her out of other wars , and we do have peace without surrender today . Yes , there are problems , problems like the one in Cuba that my opponent is discussing tonight without offering any solution for , and , incidentally , may I say , looking at that problem , I will have more to say about that at a later time , and he had better look to the record of his administration before he starts criticizing ours in that field . He talks about dictators , and I can only say that the number of dictators we inherited from the Truman administration is far greater than the number we have today in Latin America , and that 's something he must remember .	I want to talk with you tonight about the most glaring failure of American foreign policy today - about a disaster that threatens the security of the whole Western Hemisphere - about a Communist menace that has been permitted to arise under our very noses , only 90 miles from our shores . I am talking about the one friendly island that our own shortsighted policies helped make communism 's first Caribbean base : the island of Cuba . Two years ago in September of 1958 - bands of bearded rebels descended from Cuba 's Sierra Maestra Mountains and began their long march on Havana - a march which ended in the overthrow of the brutal , bloody , and despotic dictatorship of Fulgencio Batista .	contradiction	contradiction
ComArg_GM_0279	support	Homosexuality does not have immutable status. There are many reasons why people engage in homosexual behavior, including as a result of being molested by a same-sex individual. How can one say that if discrimination is supposedly occurring for homosexual couples regarding marriage, how is it not the case that polygamists, polyamorists are not being discriminated against? If marriage becomes anything that anyone wants because they want validation for their lifestyle, then the definition is meaningless. For those who don't believe in marriage (male and female for example), why not have the federal government grant benefits (taxes, soc. sec, etc.) to common-law sitiuations? How about if 5 women married 3 men...all should get benefits? What if 1 or 2 want to leave the marriage are the others still married, or will it be required that legal documents be redone? Will children of those marriages have 5 Mommies and 3 Daddies? Who gets the child, if there is a divorce and the child was adopted? Why not allow first cousins, brothers and sisters to marry ( if they are sterile) ? Why not? They may love each other and they may not be able to help it. Why not allow an 82 year old man to marry a 14 year old boy (if that's the age of consent)	Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates	contradiction	entailment
JoKialo_causal_59207	neutral	Dementors can suck the soul out of a person.	Harry Potter carved a cross into the tree under which he buried Mad-Eye Moody's eye.	contradiction	neu
QT30_nodeset21338_003	support	there's a better way to maybe win hearts and minds	there's a risk of anything which is forced can sometimes have a corresponding resistance	contradiction	entailment
QT30_nodeset21021_004	support	there is a real economic crisis in the North East	Aberdeen in the surrounding areas has also got a crisis around the hospitality industry and a crisis around the tourism industry	entailment	entailment
AbstRCT_12637459_07	support	AT significantly improves TTP and ORR compared with AC in patients with MBC,	AT represents a valid option for the treatment of MBC.	entailment	entailment
QT30_nodeset23591_006	support	Lisa Nandy was extremely pleased to see Nadhim Zahawi in the post of Education Secretary	Nadhim Zahawi could not be worse than his predecessor	contradiction	entailment
ComArg_GM_0327	support	I am against gay marriage because if god would have wanted he would have created man and man or woman and woman to be married not Adam and Eve. If they want to be together that is fine but married and with kids i don't think so. But that is my opinion and please respect it.	Major world religions are against gay marriages	entailment	entailment
AbstRCT_29507944_00	support	Change in global perfusion did not differ between treatment groups: the mean (SD) change was -0.5 (9.4) mL/min/100 g in the standard group vs 0.7 (8.6) mL/min/100 g in the intensive group (partial η2, 0.004; 95% CI, -3.551 to 5.818; P = .63).	Intensive BP lowering did not reduce cerebral perfusion in severe small vessel disease.	contradiction	entailment
JoKialo_causal_7884	neutral	Even if god existed they would still be man made words.	Reasoning showing God may not exist: God may not exist for if He exists He might have done something to correct the defects & weaknesses of man if He had created man, an action which is evidently lacking - just as a manufacturer would correct the defects of his products.	contradiction	neu
micro_b037_02	attack	Some worry about careless use of such measures,	The morning-after pill ought to be available over-the-counter in pharmacies.	contradiction	contradiction
veri_22	contradiction	Wilma payed back all her creditors.	Wilma still owes money to Bob.	contradiction	contradiction
Webis-Debate_0026	attack	If any poorly sourced proposal to move the page is made—even if an otherwise apparently sensible one—, please copy the following into it:*Support strongly the standard English name is 'Italian maritime republics'. Ther'es no obvious reason to give this name in Italian when an English equivalent exists. The English name is used in other encyclopedias, in scholarly articles, and in other Wikipedia articles. http://www.google.com/search?hl=en&safe=off&client=safari&rls=en-au&q=%22italian+maritime+republics%22&btnG=Search Searching Wikipedia itself gives 9 mentions http://en.wikipedia.org/w/index.php?title=Special%3ASearch&search=%22Italian+maritime+republic%22&fulltext=Search It is counter-intuitive to use an Italian name in the English version of WIkipedia, and requires rather strange redirects to ensure that readers find the article. Moreover, there's no geographic desciptor in the current article name, except for readers who can recognise Italian. Alan	—	neu	neu
Web_2460	support	perhaps the author can explain why of all of the thousands of researchers in geology biology particularly evolutionary biologists and paleontology	the problem with your argument is that it simply depends on a certain kind of fossil not being found and you have been repeatedly proven wrong over the last  or  decades when such a fossil is found	contradiction	neu
veri_03	contradiction	The government released the report today.	The government is holding back the report.	contradiction	contradiction
US2016_nodeset10848_014	support	TRUMP takes advantage of the laws of the nation	TRUMP's obligation right now is to do well for himself, his family, his employees, and for his companies	contradiction	neu
ArgEss_essay060_03	neutral	It will also help them to learn professional setup by working	Working or traveling for some time, after high school, can help them to find their field of interest	entailment	entailment
micro_b001_01	support	Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.	Yes, it's annoying and cumbersome to separate your rubbish properly all the time.	contradiction	entailment
Webis-Debate_0100	attack	Jonathan Kestenbaum → .	- Known for his career in the Sciences and not as a peer. Also no disambiguation is required for this article title.--	neu	neu
JoKialo_norm_31836	support	India should have a Universal Basic Income \(UBI\).	In the USA, a scheme called the Alaska Permanent Fund, almost similar to UBI, was implemented in Alaska. It didn't discourage work. There is hope for UBI. [bloomberg.com](https://www.bloomberg.com/view/articles/2018-01-23/a-basic-income-for-everyone-it-s-not-a-crazy-idea)	contradiction	neu
ComArg_UGIP_0858	attack	no because it is demeaning to a pagan like myself being forced to pledge our alegience to a country AND a god that we do not believe in. And in the moment of silence our teacher tells us to pray to god. @ smitty, the country was also founded on Freedom of speeech press and religion	Under God  is part of American tradition and history	contradiction	contradiction
QT30_nodeset23929_002	support	we should have and there will be no doubt a testing regime in place	we had to be tested after the event and we had to show our test results to get in	contradiction	neu
JoKialo_causal_96474	attack	The doctors may not have any real way of knowing if assisted death is best for their patient, which could lead to guilt later on.	Doctors are professionals that deal with life and death everyday, as such, they should handle feelings of guilt, rage or sadness or get appropriate treatment.	contradiction	contradiction
NK_deb_1572	attack	He promises a farm program that would force drastic cutbacks in production and marketing , force 2 million people out of work , trigger off inflation , sharply raise food prices , create food scarcity , and regiment all agriculture by setting up all sorts of new regulations and creating new battalions of Government overseers to watch over and tell every farmer what he could or could not do . He promises to impose a mandatory medical care plan for the aged on every one of the millions of citizens covered by social security , no matter what their personal desires , and leave 3 million Americans with no medical care program at all . My plan would not be compulsory and would provide medical care programs for all those who needed and wanted them .	And to meet the pressing problem confronting men past working age , and their families , we must put through an effective program of medical care for the aged under the social security system . The present medical care program will not send one penny to needy persons without further action by the Congress and the State legislatures . It imposes an ugly needs test-a  pauper 's oath  - for eligibility .	contradiction	entailment
AbstRCT_20026818_02	support	Although patients receiving the current intensity-modulated radiation therapy (IMRT) protocol using the Pinnacle(3) planning system had more toxicity-related treatment delays,	Although patients receiving the current intensity-modulated radiation therapy (IMRT) protocol using the Pinnacle(3) planning system had more toxicity-related treatment delays,	entailment	entailment
AbstRCT_21892106_00	attack	but this did not reach statistical significance (13.1 versus 8.3 months, p = 0.25).	Patients in arm A had longer median survival	contradiction	contradiction
veri_12	neu	An ostrich is a bird.	An ostrich cannot fly.	neu	neu
QT50_nodeset28815_003	attack	nobody is advocating capping rents	capping rents would be a reasonable idea	contradiction	contradiction
ComArg_GM_1151	support	god made a man and a women to to be first on this earth!	Marriage should be between a man and a woman	neu	entailment
ArgEss_essay293_07	neutral	their response will not be recorded and they will not misunderstand the informal discussion to an official claim	if the same words are expressed in talking, the counterparty will feel more relaxed	contradiction	neu
IJCAI2015_07_03	support	I disagree with this idea because I think it is a way to push them to have sex at an early age.	For one thing that it may be a good idea but also a wrong one. Why ? because ok, we can encourage students to protect themselves but we also can encourage them to have more sex.	contradiction	entailment
Webis-Debate_3339	support	::::Let's be clear about the nomenclature. It was always called The Great Famine. That doesn't mean that there weren't other great famines elsewhere in the world, Africa, Ethiopia, Sudan, China and more. But in the English speaking world, and in En/Wikipedia especially, we must adhere to the academic name for this particular episode in Ireland's history. Therefore I reiterate that the name should be The Great Famine. Also we must avoid original research here, and also avoid a brand new neologism. And I take Allie's point, excellent! -	. Only went for Great Irish Famine as a compromise, reaching out to the others. But of course you are right; The Great Famine was always the common name for the Great Genocide. (	contradiction	entailment
NK_deb_0136	neutral	No one group can confine itself to a single aspect of medicine . All of them - medical and dental schools , hospitals and research institutes - provide medical care , teaching and research training . In no other scientific field is there such intense and constant interplay between research , teaching , and practice .	Fifteen million American families live in inadequate housing . The average social security benefit is less than $ 78 a month for someone who is retired , and out of that he has to pay food and housing and medical care . Anyone who says that there is nothing left to do , that all the things that had to be done were done by Truman or Roosevelt , I think is wrong .	contradiction	neu
JoDeb_norm_9544	support	Nuclear Weapons should be abolished.	"Nuclear weapons could fall into terrorists"" hands."	neu	entailment
FinARG_FB_Q4_2016_17295_7_03	support	but it has really important impacts, not just in their ability to serve the right ads to the right person at the right time, but also their ability to optimize their ads for our format.	that once they understand what's really moving their product off shelves, online and off, that's where we get to the real work we need to do to optimize the ad and really work on the targeting.	contradiction	entailment
QT30_nodeset21021_006	support	when we talk about recovery it just can't be a campaign slogan	recovery in the North East is so important	contradiction	entailment
JoKialo_causal_91245	support	The UN is a force for good.	UN is one of the biggest platform to establish peace in the world.	entailment	entailment
ArgEss_essay304_03	neutral	If we don't change our behavior we will extinct many species living for millions of years on the planet	the natural diversity is very important for further generations	contradiction	entailment
ComArg_GM_1051	neutral	Unless... two gay people can create a life, which is why we are here as two opposing sexes. According to the gays, there should be one sex here on the earth. OR .. better yet.. what if the world consisted on only gay people?  There would be no children. Is that normal? Is this what God intended?   It is not natural and normal to bbe gay. It is a handicap.It is a chemical imballance. OR.. a choice. A handicap is a defect that can't be helped.However.. no one says this. That leads me to believe it is a choice then. Children need both opposing sexes. Unless.. the gays plan to re write the child care books on children's natural development.  Children are a sponge. Children will pick up on the abnormality of having two of the same sex parents which is not normal. For the gays to pretend their kind is normal is abnormal and society is starting to buy into it.	It is discriminatory to refuse gay couples the right to marry	contradiction	contradiction
veri_11	neu	School uniforms are very common in the United Kingdom.	School uniforms help to reduce social differences.	neu	neu
FinARG_MSFT_Q4_2016_17196_6_00	support	and i would say if anything, the initial data from our customers around security is gaining a lot of traction.	and e5 value proposition across all three of the areas, whether it's cloud voice or analytics or security are all three massive areas for us.	contradiction	neu
FinARG_FB_Q4_2018_17707_7_03	support	and while we have opportunities to grow impressions on facebook and instagram, that's less so in feed, where we already have healthy ad loads in - on both surfaces and more in stories where we have lower cpms.	we'll be more reliant on stories impression growth in 2019.	contradiction	entailment
